Designator,Mid X,Mid Y,Rotation,Layer
SW62,258.60625,-113.35,0.0,bottom
SW63,282.41875,-113.35,0.0,bottom
SW64,408.625,-113.35,0.0,bottom
SW65,389.575,-94.3,0.0,bottom
SW66,346.7125,-113.35,0.0,bottom
SW67,427.675,-18.1,0.0,top
SW68,389.575,-18.1,0.0,bottom
SW69,227.65,-18.1,0.0,bottom
SW7,132.4,-18.1,0.0,bottom
SW70,246.7,-18.1,0.0,bottom
SW71,265.75,-18.1,0.0,bottom
SW72,284.8,-18.1,0.0,bottom
SW73,308.6125,-18.1,0.0,bottom
SW74,327.6625,-18.1,0.0,bottom
SW75,346.7125,-18.1,0.0,bottom
SW76,408.625,-18.1,0.0,bottom
SW77,370.525,-18.1,0.0,bottom
SW78,227.65,-37.15,0.0,bottom
SW79,246.7,-37.15,0.0,bottom
SW8,151.45,-18.1,0.0,bottom
SW80,275.275,-37.15,0.0,bottom
SW81,308.6125,-37.15,0.0,bottom
SW82,327.6625,-37.15,0.0,bottom
SW83,346.7125,-37.15,0.0,bottom
SW84,408.625,-75.25,0.0,bottom
SW85,427.475001,-37.15,0.0,bottom
SW86,408.625,-37.15,0.0,bottom
SW87,389.575,-37.15,0.0,bottom
SW88,370.525,-37.15,0.0,bottom
SW89,237.175,-56.2,0.0,bottom
SW9,170.5,-18.1,0.0,bottom
SW90,256.225,-56.2,0.0,bottom
SW91,280.0375,-56.2,0.0,bottom
SW92,308.6125,-56.2,0.0,bottom
SW93,327.6625,-56.2,0.0,bottom
SW94,346.7125,-56.2,0.0,bottom
SW95,370.525,-75.25,0.0,bottom
SW96,427.675,-65.725,0.0,bottom
SW97,408.625,-56.2,0.0,bottom
SW98,389.575,-56.2,0.0,bottom
SW99,370.525,-56.2,0.0,bottom
U1,433.1625,-50.88,270.0,bottom
U2,323.0,-82.55,90.0,bottom
U3,305.0,-80.0,270.0,bottom
U4,419.55,-23.625,270.0,bottom
X1,316.8,-75.52,270.0,bottom
